Date,Equity_LSTM,Equity_Hybrid,Positions_LSTM,Positions_Hybrid
2025-04-23,1472.5281217081313,1422.7300291465951,3,3
2025-04-23,1472.5281217081313,1422.7300291465951,3,3
2025-04-24,1494.0314452497769,1444.2333526882408,2,2
2025-04-24,1494.0314452497769,1444.2333526882408,2,2
2025-04-24,1494.0314452497769,1444.2333526882408,2,2
2025-04-24,1494.0314452497769,1444.2333526882408,2,2
2025-04-24,1494.0314452497769,1444.2333526882408,2,2
2025-04-25,1524.0314452497769,1474.2333526882408,1,1
2025-04-25,1524.0314452497769,1474.2333526882408,1,1
2025-04-25,1524.0314452497769,1474.2333526882408,1,1
2025-04-25,1524.0314452497769,1474.2333526882408,1,1
2025-04-25,1524.0314452497769,1474.2333526882408,1,1
2025-04-28,1524.0314452497769,1474.2333526882408,1,1
2025-04-28,1524.0314452497769,1474.2333526882408,1,1
2025-04-28,1524.0314452497769,1474.2333526882408,1,1
2025-04-28,1524.0314452497769,1474.2333526882408,1,1
2025-04-28,1524.0314452497769,1474.2333526882408,1,1
2025-04-29,1554.0314452497769,1504.2333526882408,0,0
2025-04-29,1554.0314452497769,1504.2333526882408,0,0
2025-04-29,1554.0314452497769,1504.2333526882408,0,0
2025-04-29,1554.0314452497769,1504.2333526882408,0,0
2025-04-29,1554.0314452497769,1504.2333526882408,0,0
2025-04-30,1554.0314452497769,1504.2333526882408,0,0
2025-04-30,1554.0314452497769,1504.2333526882408,0,0
2025-04-30,1554.0314452497769,1504.2333526882408,0,0
2025-04-30,1554.0314452497769,1504.2333526882408,0,0
2025-04-30,1554.0314452497769,1504.2333526882408,0,0
2025-05-01,1554.0314452497769,1504.2333526882408,0,0
2025-05-01,1554.0314452497769,1504.2333526882408,0,0
2025-05-01,1554.0314452497769,1504.2333526882408,0,0
2025-05-01,1554.0314452497769,1504.2333526882408,0,0
2025-05-01,1554.0314452497769,1504.2333526882408,0,0
2025-05-02,1554.0314452497769,1504.2333526882408,0,0
2025-05-02,1554.0314452497769,1504.2333526882408,0,0
2025-05-02,1554.0314452497769,1504.2333526882408,0,0
2025-05-02,1554.0314452497769,1504.2333526882408,0,0
